time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,1947771163144,2,1.000,1114.000,1166.000,201.000,359.000,1,1,1,1,0,False
0.000,1947924784856,2,1.000,1072.000,1129.000,200.000,363.000,1,1,1,1,0,False
0.100,1947924784912,2,1.000,1102.000,1159.000,209.000,338.000,1,1,1,1,0,True
0.100,1947924785472,2,1.000,1060.000,1128.000,206.000,364.000,1,1,1,1,0,True
0.200,1947924783792,2,1.000,1093.000,1156.000,209.000,364.000,1,1,1,1,0,True
0.200,1947924785976,2,1.000,1056.000,1122.000,207.000,364.000,1,1,1,1,0,True
0.300,1947924786088,2,1.000,1092.000,1145.000,201.000,382.000,1,1,1,1,0,True
0.300,1947924783512,2,1.000,1043.000,1108.000,204.000,362.000,1,1,1,1,0,True
0.400,1947924786928,2,0.991,1085.000,1131.000,210.000,324.000,1,1,1,1,0,True
0.400,1947924786648,2,1.000,1040.000,1088.000,208.000,340.000,1,1,1,1,0,True
0.500,1947924784800,2,1.000,1067.000,1124.000,207.000,347.000,1,1,1,1,0,True
0.500,1947924785752,2,1.000,1033.000,1080.000,204.000,339.000,1,1,1,1,0,True
0.600,1947924786704,2,1.000,1057.000,1117.000,200.000,361.000,1,1,1,1,0,True
0.600,1947924783848,2,1.000,1017.000,1073.000,202.000,355.000,1,1,1,1,0,True
0.700,1947924785864,2,1.000,1037.000,1104.000,206.000,357.000,1,1,1,1,0,True
0.700,1947924719264,2,1.000,1011.000,1065.000,205.000,336.000,1,1,1,1,0,True
0.800,1947924785640,2,1.000,1030.000,1093.000,208.000,359.000,1,1,1,1,0,True
0.800,1947924719488,2,1.000,989.000,1056.000,203.000,358.000,1,1,1,1,0,True
0.900,1947924718368,2,1.000,1026.000,1085.000,205.000,351.000,1,1,1,1,0,True
0.900,1947924717640,2,0.931,992.000,1035.000,207.000,320.000,1,1,1,1,0,True
1.000,1947924784968,2,1.000,1014.000,1075.000,201.000,357.000,1,1,1,1,0,True
1.000,1947924783400,2,1.000,977.000,1026.000,200.000,358.000,1,1,1,1,0,True
1.100,1947924785360,2,1.000,1005.000,1061.000,200.000,359.000,1,1,1,1,0,True
1.100,1947924786200,2,1.000,964.000,1023.000,199.000,364.000,1,1,1,1,0,True
1.200,1947924783288,2,1.000,992.000,1047.000,201.000,366.000,1,1,1,1,0,True
1.200,1947924721056,2,1.000,952.000,1007.000,199.000,362.000,1,1,1,1,0,True
1.300,1947924721168,2,1.000,980.000,1039.000,204.000,360.000,1,1,1,1,0,True
1.300,1947924720720,2,1.000,939.000,999.000,202.000,360.000,1,1,1,1,0,True
1.400,1947924719656,2,1.000,969.000,1033.000,205.000,356.000,1,1,1,1,0,True
1.400,1947924720944,2,1.000,925.000,991.000,209.000,353.000,1,1,1,1,0,True
1.500,1947924720664,2,1.000,957.000,1021.000,205.000,358.000,1,1,1,1,0,True
1.500,1947924721560,2,1.000,918.000,974.000,207.000,355.000,1,1,1,1,0,True
1.600,1947924721336,2,0.998,955.000,1001.000,201.000,336.000,1,1,1,1,0,True
1.700,1947924720776,2,1.000,937.000,990.000,202.000,361.000,1,1,1,1,0,True
1.700,1947924720552,2,1.000,894.000,954.000,202.000,360.000,1,1,1,1,0,True
1.800,1947924721616,2,1.000,917.000,984.000,203.000,365.000,1,1,1,1,0,True
1.800,1947924720608,2,1.000,878.000,945.000,203.000,362.000,1,1,1,1,0,True
1.900,1947924719600,2,1.000,897.000,979.000,210.000,362.000,1,1,1,1,0,True
1.900,1947925604224,2,1.000,858.000,941.000,209.000,362.000,1,1,1,1,0,True
2.000,1947924787096,2,1.000,892.000,972.000,205.000,363.000,1,1,1,1,0,True
2.000,1947924720328,2,1.000,852.000,933.000,214.000,361.000,1,1,1,1,0,True
2.200,1947924786872,2,0.965,887.000,938.000,197.000,365.000,1,1,1,1,0,True
2.300,1947924719768,2,1.000,871.000,919.000,207.000,363.000,1,1,1,1,0,True
2.300,1947925604672,2,1.000,826.000,876.000,211.000,360.000,1,1,1,1,0,True
2.400,1947924718760,2,1.000,852.000,912.000,211.000,363.000,1,1,1,1,0,True
2.400,1947925605400,2,1.000,810.000,874.000,206.000,364.000,1,1,1,1,0,True
2.500,1947925604504,2,1.000,829.000,910.000,208.000,361.000,1,1,1,1,0,True
2.500,1947925605624,2,1.000,794.000,871.000,207.000,363.000,1,1,1,1,0,True
2.600,1947925605176,2,1.000,826.000,900.000,203.000,362.000,1,1,1,1,0,True
2.600,1947925606296,2,1.000,790.000,858.000,208.000,365.000,1,1,1,1,0,True
2.700,1947925604952,2,1.000,825.000,873.000,207.000,354.000,1,1,1,1,0,True
2.700,1947925605288,2,1.000,781.000,836.000,211.000,359.000,1,1,1,1,0,True
2.800,1947925605680,2,1.000,807.000,854.000,212.000,360.000,1,1,1,1,0,True
2.800,1947925604784,2,1.000,769.000,812.000,208.000,364.000,1,1,1,1,0,True
2.900,1947925606352,2,1.000,789.000,849.000,213.000,366.000,1,1,1,1,0,True
2.900,1947925604000,2,1.000,747.000,809.000,207.000,364.000,1,1,1,1,0,True
3.000,1947924784240,2,1.000,759.000,843.000,203.000,364.000,1,1,1,1,0,True
3.000,1947925604616,2,1.000,724.000,804.000,205.000,360.000,1,1,1,1,0,True
3.100,1947924718312,2,1.000,751.000,828.000,207.000,368.000,1,1,1,1,0,True
3.100,1947925603552,2,1.000,713.000,791.000,205.000,365.000,1,1,1,1,0,True
3.200,1947924718480,2,1.000,744.000,804.000,201.000,365.000,1,1,1,1,0,True
3.200,1947925602376,2,1.000,708.000,763.000,202.000,365.000,1,1,1,1,0,True
3.300,1947925602656,2,1.000,731.000,775.000,201.000,367.000,1,1,1,1,0,True
3.300,1947925476576,2,1.000,693.000,735.000,206.000,367.000,1,1,1,1,0,True
3.400,1947925603944,2,1.000,700.000,773.000,208.000,367.000,1,1,1,1,0,True
3.400,1947925476632,2,1.000,660.000,730.000,205.000,367.000,1,1,1,1,0,True
3.500,1947925477920,2,1.000,681.000,763.000,212.000,365.000,1,1,1,1,0,True
3.500,1947925475680,2,1.000,638.000,720.000,210.000,368.000,1,1,1,1,0,True
3.600,1947925475400,2,1.000,671.000,738.000,214.000,366.000,1,1,1,1,0,True
3.600,1947925478368,2,1.000,631.000,697.000,213.000,364.000,1,1,1,1,0,True
3.700,1947925478592,2,1.000,659.000,708.000,209.000,370.000,1,1,1,1,0,True
3.700,1947925476408,2,1.000,618.000,672.000,207.000,369.000,1,1,1,1,0,True
3.800,1947925478704,2,1.000,636.000,697.000,206.000,366.000,1,1,1,1,0,True
3.800,1947925477696,2,1.000,591.000,659.000,206.000,372.000,1,1,1,1,0,True
3.900,1947925477584,2,1.000,604.000,688.000,210.000,373.000,1,1,1,1,0,True
3.900,1947925479320,2,1.000,565.000,648.000,207.000,370.000,1,1,1,1,0,True
4.000,1947924783680,2,1.000,596.000,669.000,215.000,369.000,1,1,1,1,0,True
4.000,1947925602992,2,1.000,551.000,630.000,207.000,368.000,1,1,1,1,0,True
4.100,1947925475624,2,1.000,585.000,643.000,203.000,370.000,1,1,1,1,0,True
4.100,1947925479040,2,1.000,547.000,595.000,209.000,369.000,1,1,1,1,0,True
4.200,1947925605736,2,1.000,562.000,626.000,203.000,371.000,1,1,1,1,0,True
4.200,1947925479208,2,1.000,517.000,583.000,208.000,370.000,1,1,1,1,0,True
4.300,1947925479096,2,1.000,538.000,613.000,210.000,369.000,1,1,1,1,0,True
4.300,1947925477416,2,1.000,497.000,575.000,207.000,368.000,1,1,1,1,0,True
4.400,1947925478088,2,1.000,525.000,603.000,214.000,369.000,1,1,1,1,0,True
4.400,1947925478312,2,1.000,481.000,565.000,209.000,369.000,1,1,1,1,0,True
4.500,1947925476128,2,1.000,519.000,587.000,205.000,372.000,1,1,1,1,0,True
4.500,1947933312392,2,1.000,476.000,549.000,211.000,372.000,1,1,1,1,0,True
4.600,1947933313624,2,1.000,508.000,559.000,201.000,375.000,1,1,1,1,0,True
4.600,1947933313680,2,1.000,465.000,521.000,203.000,370.000,1,1,1,1,0,True
4.700,1947933313904,2,1.000,488.000,557.000,204.000,373.000,1,1,1,1,0,True
4.700,1947933311664,2,1.000,446.000,514.000,205.000,373.000,1,1,1,1,0,True
4.800,1947933311944,2,1.000,471.000,548.000,208.000,375.000,1,1,1,1,0,True
4.800,1947933314856,2,1.000,428.000,508.000,204.000,370.000,1,1,1,1,0,True
4.900,1947933313736,2,1.000,459.000,541.000,209.000,371.000,1,1,1,1,0,True
4.900,1947933315024,2,1.000,416.000,499.000,208.000,372.000,1,1,1,1,0,True
5.000,1947924718872,2,1.000,450.000,520.000,204.000,372.000,1,1,1,1,0,True
5.000,1947925603888,2,1.000,406.000,482.000,204.000,372.000,1,1,1,1,0,True
5.100,1947925478536,2,1.000,438.000,499.000,201.000,374.000,1,1,1,1,0,True
5.100,1947933313792,2,1.000,402.000,461.000,205.000,373.000,1,1,1,1,0,True
5.200,1947925476016,2,1.000,422.000,491.000,205.000,372.000,1,1,1,1,0,True
5.200,1947933313848,2,1.000,381.000,450.000,203.000,374.000,1,1,1,1,0,True
5.300,1947933312896,2,1.000,407.000,484.000,204.000,369.000,1,1,1,1,0,True
5.300,1947933311552,2,1.000,362.000,454.000,205.000,370.000,1,1,1,1,0,True
5.400,1947933314408,2,1.000,393.000,483.000,207.000,372.000,1,1,1,1,0,True
5.400,1947933313008,2,1.000,346.000,445.000,204.000,370.000,1,1,1,1,0,True
5.500,1947933314296,2,1.000,387.000,445.000,210.000,370.000,1,1,1,1,0,True
5.500,1947933314072,2,1.000,343.000,416.000,204.000,374.000,1,1,1,1,0,True
5.600,1947933314968,2,1.000,376.000,440.000,205.000,373.000,1,1,1,1,0,True
5.600,1947933448064,2,1.000,335.000,396.000,205.000,370.000,1,1,1,1,0,True
5.700,1947933313960,2,1.000,358.000,420.000,206.000,372.000,1,1,1,1,0,True
5.700,1947933446720,2,1.000,319.000,379.000,203.000,377.000,1,1,1,1,0,True
5.800,1947933448232,2,1.000,337.000,420.000,206.000,372.000,1,1,1,1,0,True
5.800,1947933448792,2,1.000,296.000,371.000,203.000,371.000,1,1,1,1,0,True
5.900,1947933449352,2,1.000,322.000,411.000,206.000,371.000,1,1,1,1,0,True
5.900,1947933448904,2,1.000,277.000,364.000,205.000,370.000,1,1,1,1,0,True
6.000,1947924787152,2,1.000,310.000,400.000,205.000,372.000,1,1,1,1,0,True
6.000,1947925476800,2,1.000,266.000,363.000,205.000,374.000,1,1,1,1,0,True
6.100,1947933314016,2,1.000,302.000,377.000,206.000,377.000,1,1,1,1,0,True
6.100,1947933314184,2,1.000,261.000,338.000,204.000,374.000,1,1,1,1,0,True
6.200,1947933312448,2,1.000,291.000,354.000,201.000,374.000,1,1,1,1,0,True
6.200,1947933447560,2,1.000,253.000,315.000,203.000,371.000,1,1,1,1,0,True
6.300,1947933449632,2,1.000,277.000,346.000,205.000,372.000,1,1,1,1,0,True
6.300,1947933446552,2,1.000,232.000,302.000,205.000,374.000,1,1,1,1,0,True
6.400,1947933449296,2,1.000,253.000,339.000,198.000,375.000,1,1,1,1,0,True
6.400,1947933449800,2,1.000,207.000,297.000,202.000,375.000,1,1,1,1,0,True
6.500,1947933449184,2,1.000,239.000,333.000,206.000,374.000,1,1,1,1,0,True
6.500,1947933448008,2,1.000,199.000,290.000,202.000,371.000,1,1,1,1,0,True
6.600,1947933449464,2,1.000,234.000,323.000,207.000,377.000,1,1,1,1,0,True
6.700,1947933450192,2,1.000,221.000,302.000,205.000,378.000,1,1,1,1,0,True
6.700,1947933450080,2,1.000,190.000,252.000,194.000,374.000,1,1,1,1,0,True
6.800,1947933448680,2,1.000,215.000,281.000,203.000,375.000,1,1,1,1,0,True
6.800,1947933386008,2,1.000,175.000,236.000,204.000,375.000,1,1,1,1,0,True
6.900,1947933387240,2,1.000,201.000,268.000,202.000,377.000,1,1,1,1,0,True
6.900,1947933387464,2,1.000,159.000,227.000,204.000,375.000,1,1,1,1,0,True
7.000,1947925478648,2,1.000,175.000,265.000,206.000,376.000,1,1,1,1,0,True
7.000,1947933448848,2,1.000,137.000,220.000,203.000,377.000,1,1,1,1,0,True
7.100,1947933313512,2,1.000,167.000,252.000,205.000,378.000,1,1,1,1,0,True
7.100,1947933449016,2,1.000,129.000,211.000,204.000,379.000,1,1,1,1,0,True
7.200,1947933449856,2,1.000,159.000,238.000,205.000,379.000,1,1,1,1,0,True
7.200,1947933385168,2,1.000,117.000,201.000,206.000,381.000,1,1,1,1,0,True
7.300,1947933384776,2,1.000,157.000,224.000,202.000,378.000,1,1,1,1,0,True
7.300,1947933387576,2,1.000,113.000,190.000,202.000,381.000,2,1,1,1,0,True
7.400,1947933386400,2,1.000,148.000,210.000,202.000,372.000,1,1,1,1,0,True
7.400,1947933388248,2,1.000,104.000,173.000,200.000,375.000,2,1,1,1,0,True
7.500,1947933386568,2,1.000,134.000,204.000,202.000,378.000,1,1,1,1,0,True
7.500,1947933386960,1,0.587,86.000,171.000,248.000,316.000,2,1,1,1,0,False
7.500,1947933388360,2,1.000,93.000,166.000,202.000,379.000,2,1,1,1,0,True
7.600,1947933387968,2,1.000,122.000,198.000,206.000,375.000,1,1,1,1,0,True
7.600,1947933388416,2,1.000,90.000,165.000,204.000,378.000,2,1,1,1,0,True
